,UT,abstract,authors,citations,cities,countries,doi,location,population,title,year
850,WOS:000414311700005,"This study investigates whether crime patterns fluctuate periodically throughout the year using data containing different property crime types in two Canadian cities with differing climates. Using police report data, a series of ordinary least squares (OLS; Vancouver, British Columbia) and negative binomial (Ottawa, Ontario) regressions were employed to examine the corresponding temporal patterns of property crime in Vancouver (2003-2013) and Ottawa (2006-2008). Moreover, both aggregate and disaggregate models were run to examine whether different weather and temporal variables had a distinctive impact on particular offences. Overall, results suggest that cities that experience greater variations in weather throughout the year have more distinct increases of property offences in the summer months and that different climate variables affect certain crime types, thus advocating for disaggregate analysis in the future.",,0,Ontario; Ottawa; Vancouver,USA; CAN; CAN,10.1177/0306624X16632259,SRID=4326;POINT (-117.65089 34.06334); SRID=4326;POINT (-75.69812 45.41117); SRID=4326;POINT (-123.11934 49.24966),171214; 812129; 600000,Crime Seasonality: Examining the Temporal Fluctuations of Property Crime in Cities With Varying Climates,2017
851,WOS:000249896200005,"One goal of the smart growth movement is a more compact urban form, intended to reduce energy use and the cost of moving materials, products, and people. The benefits of compactness are compromised, however, if higher densities and more intense land use create urban heat islands, which increase water and energy use. This study examines the effects of Phoenix's urban heat island on water use by single-family residences, controlling for relevant population and housing attributes. Our statistical analysis demonstrates that increasing daily low temperatures by V Fahrenheit is associated with an average monthly increase in water use of 290 gallons for a typical single-family unit. These results suggest that planners should consider effects on water demand as well as other environmental consequences when they evaluate growth strategies, and use incentives to encourage efficiency and sustainability.","Guhathakurta, S, Gober, P",87,Phoenix,USA,10.1080/01944360708977980,SRID=4326;POINT (-112.07404 33.44838),1563025,The impact of the phoenix urban heat island on residential water use,2007
852,WOS:000356990800071,"Consideration of the impact of climate change has penetrated urban infrastructure planning worldwide, and the water sector is no exception. This paper provides an approach to incorporate a low-carbon consideration and climate externalities into an environmental economic analysis for an urban water treatment work planning with a case study from Ningbo, China. The discounted incremental costs are calculated with carbon footprint accounting. The analysis confirms that the inclusion of GHG emission costs as a component in the techno-economic criteria affects the priority ranking for the siting options, and may lead to an 'entirely different decision on the siting of the water supply facility. However, these criteria should be cross-examined with a sensitivity test during the decision making process, with the discounting rate and carbon pricing level being the main sensitivity factors. This study suggests that the benchmark discount rate for the water supply infrastructure average incremental economic cost accounting should be decreased from 6% to 4.5-4.0%. (C) 2015 Elsevier Ltd. All rights reserved.","Wu, L, Mao, XQ, Zeng, A",8,Ningbo,CHN,10.1016/j.jclepro.2015.01.060,SRID=4326;POINT (121.54945 29.87819),3491597,"Carbon footprint accounting in support of city water supply infrastructure siting decision making: a case study in Ningbo, China",2015
853,WOS:000354502700015,"CSIR-Central Building Research Institute, Roorkee has been vested with the responsibility of generating, cultivating and promoting building science and technology in the service of the country. Since its inception in 1947, the Institute has been assisting the building construction and building material industries in finding timely, appropriate and economical solutions to the problems of building materials, health monitoring and rehabilitation of structures, disaster mitigation, fire safety, energy efficient rural and urban housing. The Institute is committed to serve the people through R&D in the development process and implementation of innovative housing programmes.",,0,Roorkee,IND,,SRID=4326;POINT (77.89118000000001 29.86632),103894,"CSIR-Central Building Research Institute, Roorkee",2015
854,WOS:000388960300003,"Due to rapid urbanization and increasing energy consumption, human society poses increasing pressure on the surrounding ecosystems that it depends on. As a result, evaluation of urban development should view cities as complex ecosystems including human and natural elements. This paper establishes a carbon balance index (CBI) for an urban ecosystem based on its socio-economic development and land use and land cover change in Xiamen, a rapidly urbanizing coastal city in southeast China. Dynamic changes in CBI can quantitatively indicate the sustainability of the urbanization process from a carbon cycling perspective. Results show that Xiamen's carbon balance condition experienced three stages: the period 1987 - 2002 where CBI decreased slightly, 1992 - 2002 where CBI moderately increased from 1.4 to 4.2, and 2003 - 2011 where CBI rapidly increased from 5.2 to 17.3. The carbon imbalance increased with the expansion of urban scale and urbanization. By stepwise multiple regression analysis, it was found that the main influencing factors of CBI are urbanization rate, industrial coal consumption, length of roadway network and forest area, and city managers should take these factors into consideration to achieve low-carbon city development. Finally, the CBI for the year 2030 is predicted based on CO2 emissions and sequestration scenarios.","Lin, T, Lin, T, Ge, RB, Ge, RB, Zhao, QJ, Zhang, GQ, Zhang, GQ, Li, XH, Li, XH, Ye, H, Ye, H, Liao, JF, Yin, K",0,Xiamen,CHN,10.1080/17583004.2016.1180587,SRID=4326;POINT (118.08187 24.47979),3531347,"Dynamic changes of a city's carbon balance and its influencing factors: a case study in Xiamen, China",2016
855,WOS:000416388000018,"Black carbon (BC) and organic carbon (OC) aerosols are important components of fine particulate matter (PM2.5) in polluted urban environments. Quantifying the contribution of fossil fuel and biomass combustion to BC and OC concentrations is critical for developing and validating effective air quality control measures and climate change mitigation policy. We used radiocarbon (C-14) to measure fossil and contemporary biomass contributions to BC and OC at three locations in Salt Lake City, Utah, USA, during 2012-2014, including during winter inversion events. Aerosol filters were analyzed with the Swiss_4S thermal-optical protocol to isolate BC. We measured fraction modern (f(M)) of BC and total carbon in PM2.5 with accelerator mass spectrometry and derived the f(M) of OC using isotope mass balance. Combined with C-14 information of end-member composition, our data set of 31 C-14 aerosol measurements provided a baseline of the fossil and contemporary biomass components of carbonaceous aerosol. We show that fossil fuels were the dominant source of carbonaceous aerosol during winter, contributing 88% (80-98%) of BC and 58% (48-69%) of OC. While the concentration of both BC and OC increased during inversion events, the relative source contributions did not change. The sources of BC also did not vary throughout the year, while OC had a considerably higher contemporary biomass component in summer at 62% (49-76%) and was more variable. Our results suggest that in order to reduce PM2.5 levels in Salt Lake City to meet national standards, a more stringent policy targeting mobile fossil fuel sources may be necessary.",,0,Salt Lake City,USA,10.1002/2017JD026519,SRID=4326;POINT (-111.89105 40.76078),192672,Using radiocarbon to constrain black and organic carbon aerosol sources in Salt Lake City,2017
856,WOS:000330817000020,"Mobility growth poses considerable challenges to city planners around the world, as it entails problems of congestion, air pollution, and accidents. Many cities have thus sought to increase the share of sustainable transport, and specifically travel by bicycle. However, it appears that measures to foster cycling are often implemented on an ad hoc basis, lacking strategic focus and a more profound understanding of bicycle cultures. New insights can be gained from Copenhagen, Denmark, a selfdeclared City of Cyclists that has made considerable progress towards increasing the share of travel by bicycle, with the political goal to become the ""world's best city for bicycling"". In this article, the success, reproducibility and limitations of the Copenhagen bicycle strategy are discussed in an urban transport transitions framework, based on a content- and discourse analysis of the city's official documents to assess the respective role of market-based, command-and-control, and soft policy measures in encouraging bicycling. Results suggest that soft policies, integrated with command-and-control measures, and the consideration of bicyclist expectations and concerns with regard to perceptions of safety, speed and comfort have been key in achieving high bicycle trip shares. Integrating these in comprehensive planning frameworks appears to be an approach that is more likely to foster bicycle cultures that can result in urban transport transitions. (C) 2013 Elsevier Ltd. All rights reserved.","Gossling, S",31,Copenhagen,DNK,10.1016/j.jtrangeo.2013.10.013,SRID=4326;POINT (12.56553 55.67594),1153615,"Urban transport transitions: Copenhagen, City of Cyclists",2013
857,WOS:000341901900034,"Greenhouse gases (GHGs) emitted by road transport vehicles as a direct result of fossil fuel combustion and other environmental pollutants released throughout the life cycle of petroleum based fuels, encourage a shift towards alternative transport fuels. Within this frame, an environmental assessment was performed so as to evaluate the environmental implications of alternative fuels (natural gas and biofuels) penetration in the city buses of the city of Athens. The results are evaluated in terms of CO2, CO, HC, PM and NOx emissions. The findings show that CO2 emissions are significantly reduced in CNG buses compared to diesel powered buses. CO2 emissions can also be reduced by 7.85% in B10 blends and 78.45% in B100 blends, compared to diesel. The environmental assessment can be considered as a basis so as to investigate the viability of replacement of petroleum- based diesel with natural gas and biofuels in city transport buses. Concepts for sustainable bus transportation can be incorporated using the methodology defined in this study, in order to promote a sustainable transportation system and mitigate the climate change. (C) 2014 Elsevier Ltd. All rights reserved.","Nanaki, EA, Koroneos, CJ, Xydis, GA, Rovas, D",6,Athens,GRC,10.1016/j.tranpol.2014.04.001,SRID=4326;POINT (23.71622 37.97945),664046,"Comparative environmental assessment of Athens urban buses-Diesel, CNG and biofuel powered",2014
858,WOS:000285733300008,"Collection and transportation within the system of solid waste management may account more than 60% of the overall budget, most of which is for fuel costs. Furthermore, municipal vehicles have great environmental impact through exhaust gases emissions. The aim of this research was to estimate the potential for reduction of fuel consumption and thus the emission of CO(2) through the communal vehicles route optimization. General methodology for route optimization is also presented. For the area under study, detailed field experimental research in the City of Kragujevac was conducted. Using GIS and GPS technology, whole municipally infrastructure for waste collection was scanned and all paths of communal tracks was recorded and allocated in developed database. Based on experimental and numerical results, one typical municipal vehicle route was analyzed by using ArcGis software. The obtained result indicates 2700 km of possible savings per year concerning one communal vehicle. In addition, the most fuel-economical route was extracted and compared with the original route, and with the routes extracted from criterions concerning the traffic time and shortest distance. According to available information for the City of Kragujevac and the results from this study, it was estimated that the total savings could be 20% in costs and the associated emissions.",,8,Kragujevac,SRB,10.2298/TSCI100525067J,SRID=4326;POINT (20.91667 44.01667),147473,ROUTE OPTIMIZATION TO INCREASE ENERGY EFFICIENCY AND REDUCE FUEL CONSUMPTION OF COMMUNAL VEHICLES,2010
859,WOS:000414879400063,"This paper aims at analyzing the opportunities for peak load shaving in district heating systems using a physical simulation tool. Using the proposed approach it is possible to examine the effects on the total load that can be obtained by adopting management strategies such as variation in the thermal request profile of the buildings or installation of local storage systems. The model is applied to the optimization of start-up time of the heating system in the buildings located in a selected distribution network. Proper constraints are introduced in order to avoid significant effects on the indoor temperatures of the buildings, so that acceptable comfort standard can be guaranteed. The primary energy consumption at the thermal plants is considered as the objective function to be minimized. An application to a portion of the Turin district heating network, which is the largest network in Italy, is presented. Results show that even in the case only small changes are applied, reductions in annual primary energy consumption up to 0.4% can be obtained without any additional investment cost. This opens the door larger positive impact through implementation of more complex operating strategy. (C) 2017 Elsevier Ltd. All rights reserved.",,0,Turin,ITA,10.1016/j.energy.2017.06.107,SRID=4326;POINT (7.68682 45.07049),870456,Peak-shaving in district heating systems through optimal management of the thermal request of buildings,2017
860,WOS:000345856000004,"The introduction of alternative vehicle technologies as a response to pressure regarding fossil fuel dependency in the transportation sector poses several questions regarding their impact on travel and driving behaviour and also on the environment. This project aims to assess electric vehicle users' motivations, daily patterns and vehicle operation and management. Promoted by EMEL - Lisbon's mobility and parking municipal company - the project was publicized among Lisbon's electric vehicle users, who were offered, as an incentive, a green permit which allowed them to park the vehicles for free on the street within the city's metropolitan central area. Data were gathered over a period of one year from 25 users (private and fleet drivers) through interviews and on-board diaries, comprising a total of 5,132 trips, 49,785 km travelled and a total of 8,529 kWh charged related to 831 charges. The results indicate that environmental and economic (lower running costs) factors are the main drivers for electric vehicle adoption by private users, whereas fleet drivers mention their company's image as the motive behind the deployment of this technology in fleets. Private users' energy consumption and CO2 emissions were also estimated. When compared to conventional internal combustion engine vehicles running on gasoline or diesel, electric vehicles reveal considerable reductions in both energy consumption and CO2 emissions in a Well-to-Wheel life cycle approach. These decreases are between 35-43% for energy consumption and 58-63% for CO2 emissions.","Rolim, CC, Baptista, PC, Farias, TL, Rodrigues, O",3,Lisbon,PRT,,SRID=4326;POINT (-9.133330000000001 38.71667),517802,"Electric vehicle adopters in Lisbon: motivation, utilization patterns and environmental impacts",2014
861,WOS:000308555400011,"Low-carbon economy is becoming a new approach to optimize economic development, ensuring energy security and coping with climate change. As one of the important emission sources of greenhouse gases (GHG), the industrial sector should be prioritized in the development of low-carbon economy. In this study, the carbon emission from industrial energy use of Chongqing is accounted. On basis of industrial carbon emission ( ICE) accounting, main factors responsible for industrial CO2 emission are identified and quantitatively analyzed using the Log-Mean Divisia Index method. The factors influencing ICE include energy mix, energy intensity, industrial structure and industrial output. It is found that the industrial output is the main driving force of ICE. The energy structure performs as a negative factor in carbon emission growth. By means of decomposing the influencing factors, several policy proposals were suggested for policy makers to build a low carbon city.","Yang, J, Chen, B",15,Chongqing,CHN,10.1007/s11707-011-0172-3,SRID=4326;POINT (106.55278 29.56278),7457600,Using LMDI method to analyze the change of industrial CO2 emission from energy use in Chongqing,2011
862,WOS:000378168000003,"The residential sector is the third largest sector of final energy use in Australian urban areas, accounting for about 12% of the country's total final energy consumption. What are the main determinants of energy consumption in the residential sector? This paper sheds light on this question by examining non-transport summer household energy consumption in Adelaide and Melbourne. Data were collected from a survey of 200 sample households and modelled according to a conceptual framework that not only emphasises household characteristics and housing stock characteristics but also controls the macro-environment factors. The findings reveal distinctive results in Adelaide and Melbourne. In Adelaide, household characteristics are the most important contributors in explaining non-transport household energy consumption. In Melbourne, the household characteristic as represented by income is important, but housing stock characteristics provide even more explanatory power. These findings contribute to the understanding of the factors that shape residential energy consumption and have policy implications in targeting household energy savings.",,0,Adelaide; Melbourne,AUS; AUS,10.1080/13549839.2014.958983,SRID=4326;POINT (138.59863 -34.92866); SRID=4326;POINT (144.96332 -37.814),1225235; 4246375,Non-transport household energy consumption in Adelaide and Melbourne,2016
863,WOS:000375517900019,"Land use change in the form of urbanization is a direct driver affecting the provision of ecosystem services from forests. To better understand this driver, we modeled the effects of urbanization on three regulating and provisioning ecosystem services in two disparate watersheds in Florida, USA. The study integrated available geospatial and plot-level forest inventory data to assess future changes in carbon storage, timber volume and water yield during a period of 57 years. A 2003-2060 urbanization and land use change scenario was developed using land cover data and a population distribution model. The Integrated Valuation and Ecosystem Services Tradeoffs model was then used to quantify changes in ecosystem services. Carbon storage was reduced by 16% and 26% in the urbanized 2060 scenario in both the rural Lower Suwannee and urban Pensacola Bay watersheds, respectively. Timber volume was reduced by 11% in the Lower Suwannee and 21% in the Pensacola Bay watershed. Water yield, however, increased in both watersheds by 4%. Specific sub-watersheds that were most susceptible to urbanization were identified and mapped and ecosystem service interactions, or trade-offs and synergies, are discussed. Findings reveal how urbanization drives the spatio-temporal dynamics of ecosystem services and their trade-offs. This study provides policy makers and planners an approach to better develop integrated modeling scenarios as well as designing mapping and monitoring protocols for land use change and ecosystem service assessments. (C) 2016 Elsevier Ltd. All rights reserved.","Delphin, S, Delphin, S, Escobedo, FJ, Abd-Elrahman, A, Cropper, WP",7,Floridablanca,COL,10.1016/j.landusepol.2016.02.006,SRID=4326;POINT (-73.08644 7.06222),252267,Urbanization as a land use change driver of forest ecosystem services,2016
864,WOS:000255888600019,"China has become the second largest emitter of CO2 in the world. As one of the largest energy consumers, urban residential buildings are required to reduce energy consumption. However nearly all existing urban residential buildings in the Hot Summer and Cold Winter Region of China were built with poor thermal quality. Increasing a building's energy performance has proven to be very helpful in alleviating the pressure of energy shortages and in reducing CO2 emissions. After analyzing the climate of the region, the economic development and existing urban residential buildings of Hangzhou city, one typical building is selected as a case study. Six rational renovation plans, based upon the national and regional standards, are advanced after analyzing their feasibility in simulations and in practice. The energy saving effects of the plans are analyzed using the feedback coefficient method, the reduction of CO2 emissions by a simple LCCO2 method and the costs by a simple LCC method, all for a 40-year residual life span. Based upon these results a suitable plan is developed. The results show that the renovation of existing residential buildings, through the thermal insulation of their building envelopes, is very beneficial in reducing energy consumption and CO2 emissions.","Ouyang, JL, Ge, J, Shen, TL, Hokao, K, Gao, JL",4,Hangzhou,CHN,10.3130/jaabe.7.139,SRID=4326;POINT (120.16142 30.29365),6241971,"The reduction potential of energy consumption, CO2 emissions and cost of existing urban residential buildings in Hangzhou city, China",2008
865,WOS:000352383900005,"Geothermal energy is an efficient low carbon solution for the heating and cooling of buildings. For many megacities such as London and Beijing, the amount of energy that can be stored in the urban local subsurface is greater than their annual heating and cooling demands. The ground source heat pump (GSHP) system - a shallow geothermal technology that provides heating and cooling for buildings by continuously replenishing the energy in the subsurface - has been used increasingly in recent years, but its application has been generally limited to single buildings. In this study, a geographic information system-based simulation model was developed to estimate how many GSHPs could be installed at the city scale without losing control of the ground thermal capacity and to evaluate the degree to which such a system could contribute to the energy demands of buildings in a city. The model was built by embedding a Python-based GSHP design code into ArcGIS software and was trialled on the City of Westminster, a borough in London, UK, as a case study under the two scenarios of boreholes placed under buildings and boreholes around buildings. Under both scenarios, the model produced borehole allocation maps and ratio of capacity to demand maps. The results show that a large proportion of buildings could support their own heating demands through GSHPs and, through a well-organised district heating system, GSHPs may be used efficiently to satisfy heating demands throughout an urban area.",,9,Beijing; London; Westminster,CHN; GBR; USA,10.1680/geolett.13.00061,SRID=4326;POINT (116.39723 39.9075); SRID=4326;POINT (-0.12574 51.50853); SRID=4326;POINT (-105.0372 39.83665),11716620; 7556900; 113130,Shallow geothermal energy application with GSHPs at city scale: study on the City of Westminster,2014
866,WOS:000316831000016,"Electric energy consumption is becoming an important issue for individual as well as for governmental and private organizations. Electric companies in Saudi Arabia face hard times in meeting the increasing demand for electric power. This research investigation is trying to study the electric energy consumption for an educational building located in Rabigh city, 150 km North of Jeddah city, Saudi Arabia. Detailed auditing was done to the building including constructing materials used, energy consumption, cooling load and lighting. Temperature and relative humidity were recorded for several places inside the building. Thermal images for the interior zones were generated to provide information about the temperature distribution and give an idea about air or heat leak from or into the building. Based on the analysis of auditing exercise, some recommendations were suggested to reduce the electric energy consumptions which can reach up to 35.3%. The A/C units' efficiency can also be increased by 31%. The results will be beneficial for the educational organizations and operation and maintenance staff to manage the electric usage and reduce the electric bills. (C) 2012 Elsevier Ltd. All rights reserved.",,20,Jeddah,SAU,10.1016/j.enconman.2012.10.005,SRID=4326;POINT (39.19797 21.54238),2867446,Auditing and analysis of energy consumption of an educational building in hot and humid area,2013
867,WOS:000413791300013,"BACKGROUND: In March 2011, the Great East Japan Earthquake devastated several power stations and caused severe electricity shortages. This accident was followed by the implementation of policies to reduce summer electricity consumption in the affected areas, for example, by limiting air-conditioning (AC) use. This provided a natural experimental scenario to investigate if these policies were associated with an increase in heat-related mortality. OBJECTIVES: We examined whether the reduced electricity consumption in warm season modified heat-related mortality from 2008 to 2012. METHODS: We conducted prefecture-specific interrupted time-series (ITS) analyses to compare temperature mortality associations before and after the earthquake, and used meta-analysis to generate combined effect estimates for the most affected and less affected areas (prefectures with >10% or <= 10% reductions in electricity consumption, respectively). We then examined whether the temperature mortality association in Tokyo, one of the most affected areas, was modified by the percent reduction in electricity consumption relative to expected consumption for comparable days before the earthquake. RESULTS: Contrary to expectations, we estimated a 5-9% reduction in all-cause heat-related mortality after the earthquake in the 15 prefectures with the greatest reduction in electricity consumption, and little change in the other prefectures. However, the percent reduction in observed vs. expected daily electricity consumption after the earthquake did not significantly modify daily heat-related mortality in Tokyo. CONCLUSIONS: In the prefectures with the greatest reductions in electricity consumption, heat-related mortality decreased rather than increased following the Great East Japan Earthquake. Additional research is needed to determine whether this finding holds for other populations and regions, and to clarify its implications for policies to reduce the consequences of climate change on health.",,0,Tokyo,JPN,10.1289/EHP493,SRID=4326;POINT (139.69171 35.6895),8336599,Heat-Related Mortality in Japan after the 2011 Fukushima Disaster: An Analysis of Potential Influence of Reduced Electricity Consumption,2017
868,WOS:000335874300010,"This study investigates the potential of energy efficiency, renewables, and micro-cogeneration to reduce household consumption in a medium Italian town and analyses the scope for municipal local policies. The study also investigates the effects of tourist flows on town's energy consumption by modelling energy scenarios for permanent and summer homes. Two long-term energy scenarios (to 2030) were modelled using the MarIcAL-TIMES generator model: BAU (business as usual), which is the reference scenario, and EHS (exemplary household sector), which involves targets of penetration for renewables and micro-cogeneration. The analysis demonstrated the critical role of end-use energy efficiency in curbing residential consumption. Cogeneration and renewables (PV (photovoltaic) and solar thermal panels) were proven to be valuable solutions to reduce the energetic and environmental burden of the household sector (-20% in 2030). Because most of household energy demand is ascribable to space-heating or hot water production, this study finds that micro-CHP technologies with lower power-to-heat ratios (mainly, Stirling engines and microturbines) show a higher diffusion, as do solar thermal devices. The spread of micro-cogeneration implies a global reduction of primary energy but involves the internalisation of the primary energy, and consequently CO2 emissions, previously consumed in a centralised power plant within the municipality boundaries. (C) 2014 Elsevier Ltd. All rights reserved.","Comodi, G, Cioccolanti, L, Renzi, M",19,Stirling,GBR,10.1016/j.energy.2014.02.055,SRID=4326;POINT (-3.93682 56.11903),33012,"Modelling the Italian household sector at the municipal scale: Micro-CHP, renewables and energy efficiency",2014
869,WOS:000369088600044,"The demands of energy consumption have been projected as a key factor that affects an economy at the city, national, and international level. Contributions to total U.S. greenhouse gas emissions in 2012 by various urban sectors include electricity (31%), transportation (28%), industry (20%), agriculture (10%), and commercial and residential (10%). Yet the heavy demands of energy consumption in the cities by residents, commercial businesses, industries, and transportation are important for maintaining and sustaining sufficient economic growth. The purpose of this study is to investigate the relationships between population trends, historical energy consumptions, the changes of average electricity price, average annual temperature, and extreme weather events for three selected cities: New York, Chicago, and Los Angeles. These cities are exemplary of, metropolitan areas in the East, Middle, and the Western regions of the U.S. We find that the total energy consumptions of New York, Chicago, and Los Angeles are influenced to various degrees by changes in population, temperature and the average price of electricity and that only one city, Los Angeles, does price significantly affect electricity use. This finding has implications for policy making, suggesting that each city's climate, size and general economic priorities must be considered in developing climate change mitigation strategies and incentives.","Fu, KS, Allen, MR, Archibald, RK",3,Chicago; New York City; Los Angeles,USA; USA; USA,10.3390/su71115284,SRID=4326;POINT (-87.65004999999999 41.85003); SRID=4326;POINT (-74.00597 40.71427); SRID=4326;POINT (-118.24368 34.05223),2720546; 8175133; 3971883,"Evaluating the Relationship between the Population Trends, Prices, Heat Waves, and the Demands of Energy Consumption in Cities",2015
870,WOS:A1995TK17300007,"Energy services, such as one hour of lighting, or one passenger kilometer of transportation depend upon significant chains of preceding activities in the energy sector. The stages in a fuel chain, for example crude oil recovery, oil refining, or fuel distribution often have significant environmental impacts. Fuel chain analysis is a means of accurately comparing the environmental impacts of alternative energy policy, planning, and investment decisions. A fuel chain analysis was used to compare air emissions from diesel- and compressed-natural-gas- (CNG) fueled buses in Caracas. Because of methane emissions from the existing natural gas recovery and transmission systems in Venezuela, and the lower efficiency of heavy-duty compressed natural gas vehicles in comparison to diesel vehicles, the campressed natural gas fuel chain is not clearly a good choice from the perspective of global warming potential (GWP). However, emissions of local air pollutants, such as particulates, carbon monoxide, and nitrogen oxides, were significantly lower for the CNG fuel chain. The results suggests that a CNG vehicle program may only achieve significant greenhouse gas emission reductions if it can be associated (either directly or indirectly) with decreases in flaring, venting, and other fugitive emissions fi om the natural gas system, or if the efficiency of heavy duty CNG engines improves in comparison to diesel engines. The fuel chain approach has also been applied to an analysis of electricity generating options in Venezuela, and it may be applicable to other sectors and countries conducting greenhouse gas mitigation analyses.","HILL, DG, VILLANUEVA, LA",1,Caracas,VEN,,SRID=4326;POINT (-66.87918999999999 10.48801),3000000,THE COMPARATIVE AIR EMISSIONS OF DIESEL-FUELED AND COMPRESSED-NATURAL-GAS-FUELED BUSES IN VENEZUELA - A CASE-STUDY EMPLOYING A FUEL CHAIN APPROACH,1995
871,WOS:000246746600005,"This paper reports the measured solar spectral properties and the thermal performance of 10 prototype cool colored coatings, developed at the National and Kapodistrian University of Athens, using near-infrared reflective color pigments in comparison to color-matched, conventionally pigmented coatings. These coatings are developed to be used in the urban environment to fight the heat island effect. The spectral reflectance and the infrared emittance were measured and the solar reflectance of the samples was calculated. The surface temperature of the coatings when applied to concrete tiles was monitored, using surface temperature sensors and a data logging system, on 24 h basis from August to December 2005 in an effort to investigate the ability of the cool colored coatings to maintain lower surface temperatures than conventionally pigmented color-matched coatings. The data obtained has been extensively analysed and indicate significant success in the development of these cool colored coatings. It was found that all the coatings containing infrared reflective pigments have solar reflectance values higher than those of standard coatings. Furthermore, it was demonstrated that cool colored coatings maintain lower surface temperatures than color-matched conventionally pigmented coatings. This temperature difference is mainly due to differences in solar reflectance. These cool colored coatings can be used on buildings (roofs and walls) and other surfaces in the urban environment. Thus, at building scale, the use of cool colored coatings with increased solar reflectance can improve building comfort and reduce cooling energy use, and at city city-scale it can contribute to the reduction of the air temperature due to the heat-transfer phenomena and therefore improve outdoor thermal comfort and reduce the heat-island effect. (c) 2006 Elsevier Ltd. All rights reserved.",,217,Athens,GRC,10.1016/j.solener.2006.08.005,SRID=4326;POINT (23.71622 37.97945),664046,"On the development, optical properties and thermal performance of cool colored coatings for the urban environment",2007
872,WOS:000412832300010,"Urban growth leads to geographically concentrated demand for water and food -and to growing volumes of wastewater and organic waste. Left unattended by city authorities, both local and planetary resources boundaries for water and nutrients will be transgressed. A novel partly dynamic 'flexible water balance' is developed to explore ways to address a looming water crisis. A systems-based flow chart shows how rainwater, groundwater and recycled water interact. Measures from supply-, demand-, and reuse management are combined to manipulate the water flows. Water management in Bangalore, India, focused on supply management over the period 1964 to 2015, tapping distant rivers. This mind-set was challenged by a Water Disputes Tribunal and international financiers. Residents and industry were losing faith in the erratic water supply, and met part or all their water needs by digging or drilling wells. The 'flexible water balance' is tested on Bangalore for the year 2050 when the population has increased from 8 to 20 million. New housing complexes can provide opportunities for effective arrangements to recycle water and nutrients, save energy, and reduce water pollution and air emissions. The 'flexible water balance' indicates that Bangaloreans can get enough household water without tapping river water and still recharge groundwater.",,0,Bengaluru,IND,10.2166/wp.2017.152,SRID=4326;POINT (77.59369 12.97194),5104047,"Addressing urban water scarcity: reduce, treat and reuse - the third generation of management to avoid local resources boundaries",2017
873,WOS:000386314500037,"In this study an analytical tbol that combines two models for determination of thermal performance of a direct expansion-solar assisted heat pump (DX-SAHP) domestic hot water heater is presented. The first method-the quadratic model developed in this study-predicts the approximate value of the collector fluid temperature, from the known values of solar radiation in the collector plane (I-coll), condensing temperature and the ambient air temperature. The predicted value of collector fluid temperature is used as an input in a companion model that, using the second law, predicts the system coefficient of performance (COP) from the known values of condensing temperature, compressor efficiency and refrigerant properties. The combined method presented in this study is ideally suited for preliminary design calculations for a selected location or for comparison of different locations for determination of the energy conservation and carbon emission reduction potential of DX-SAHP hot water systems. The thermal performance results predicted from this combined method indicate that system COP ranging from 3.6 to 5.6 can be obtained for the month of January for locations such as New York City, Norfolk and Tampa. The carbon reduction factor (CRF), signifying reduced carbon emission due to switch from electric only water heater to much more efficient DX-SAHP water heater, ranged from 72% to 82% for the chosen locations. This narrow range for CRF indicates that regardless of geographical locations it is prudent to phase out electric only hot water heater and replace them by DX-SAHP water heaters. (C) 2016 Elsevier Ltd. All rights reserved.","Malali, PD, Chaturvedi, SK, Abdel-Salam, TM",0,Tampa; Norfolk; New York City,USA; USA; USA,10.1016/j.enconman.2016.09.017,SRID=4326;POINT (-82.45843000000001 27.94752); SRID=4326;POINT (-76.28522 36.84681); SRID=4326;POINT (-74.00597 40.71427),369075; 246393; 8175133,An approximate method for prediction of thermal performance of direct expansion-solar assisted heat pump (DX-SAHP) systems for water heating applications,2016
